0	40.8044115262
1	39.862262856
2	38.5616389693
3	37.8681924575
4	37.6696164037
5	40.9756024971
6	38.8973006776
7	35.65108694
8	39.6988664826
9	37.3764631821
10	39.8998746865
11	39.2810386828
12	35.6791255498
13	35.8050275799
14	40.7308237088
15	30.0
16	37.8417758568
17	35.8608421541
18	38.8200978876
19	43.4626276242
20	32.8481354113
21	34.885527085
22	34.10278581
23	36.6469644036
24	41.629316593
25	37.1214223865
26	37.9209704517
27	37.8681924575
28	38.8072158239
29	38.9743505398
30	33.9116499156
31	37.762415177
32	30.9515750811
33	34.5687720349
34	34.1613817051
35	36.9459064038
36	38.7040049607
37	38.8329756779
38	40.0124980475
39	33.6897610558
40	41.4487635521
41	37.907782842
42	35.0285597763
43	44.3734154647
44	25.8456959666
45	34.4093010682
46	35.3836120259
47	39.0128184063
48	37.483329628
49	38.574603044
